Pair,pressure_condition,T1 (oC),T1i,T2i,T2,dT,dTi
,,,,,,,
Al-Br-Cu,Ambient,40,37.6666666666667,32.3333333333333,31,9,5.33333333333333
Al-Br-Cu,Ambient,40,39.3333333333333,34,31,9,5.33333333333334
Al-Br-Cu,Ambient,40,39.3333333333333,34,31,9,5.33333333333334
Al-Br-Cu,Ambient,40,39.6666666666667,33.3333333333333,32,8,6.33333333333333
Al-Br-Cu,Ambient,40,39.6666666666667,33.3333333333333,32,8,6.33333333333333
Al-Br-Cu,Ambient,50,48.3333333333333,37.6666666666667,35,15,10.6666666666667
Al-Br-Cu,Ambient,50,49,38.6666666666667,36,14,10.3333333333333
Al-Br-Cu,Ambient,50,49.3333333333333,38.6666666666667,37,13,10.6666666666667
Al-Br-Cu,Ambient,50,49.6666666666667,40,37,13,9.66666666666666
Al-Br-Cu,Ambient,50,49.6666666666667,40.6666666666667,40,10,9
Al-Br-Cu,Ambient,60,57.6666666666667,41.6666666666667,39,21,16
Al-Br-Cu,Ambient,60,58.6666666666667,43,41,19,15.6666666666667
Al-Br-Cu,Ambient,60,59,44,42,18,15
Al-Br-Cu,Ambient,60,59,44.6666666666667,42,18,14.3333333333333
Al-Br-Cu,Ambient,60,59.3333333333333,46,44,16,13.3333333333333
Al-Br-Cu,Ambient,60,59.3333333333333,47.6666666666667,45,15,11.6666666666667
Al-Br-Cu,Ambient,60,59.6666666666667,48.3333333333333,46,14,11.3333333333333
Al-Br-Cu,Ambient,60,59.6666666666667,48.6666666666667,47,13,11
Al-Br-Cu,Ambient,,,,,,
Al-Br-Cu,Ambient,70,65.6666666666667,48,45,25,17.6666666666667
Al-Br-Cu,Ambient,70,67.6666666666667,48.3333333333333,46,24,19.3333333333333
Al-Br-Cu,Ambient,70,67.6666666666667,48.6666666666667,47,23,19
Al-Br-Cu,Ambient,70,68,50.3333333333333,47,23,17.6666666666667
Al-Br-Cu,Ambient,70,68.3333333333333,51,49,21,17.3333333333333
Al-Br-Cu,Ambient,70,68.6666666666667,53,51,19,15.6666666666667
Al-Br-Cu,Ambient,70,69.3333333333333,55,53,17,14.3333333333333
Al-Air-Al,Ambient,40,35.6666666666667,31,29,11,4.66666666666666
Al-Air-Al,Ambient,40,36.6666666666667,31.6666666666667,31,9,5
Al-Air-Al,Ambient,40,38.3333333333333,33.3333333333333,31,9,5
Al-Air-Al,Ambient,40,38,33,31,9,5
Al-Air-Al,Ambient,,,,,,
Al-Air-Al,Ambient,50,43.6666666666667,37.3333333333333,35,15,6.33333333333333
Al-Air-Al,Ambient,50,44,37.3333333333333,36,14,6.66666666666666
Al-Air-Al,Ambient,50,44.3333333333333,37.3333333333333,36,14,7
Al-Air-Al,Ambient,50,45,38,36,14,7
Al-Air-Al,Ambient,60,51.3333333333333,43,41,19,8.33333333333334
Al-Air-Al,Ambient,60,53,44.6666666666667,42,18,8.33333333333334
Al-Air-Al,Ambient,60,53.6666666666667,45,42,18,8.66666666666666
Al-Air-Al,Ambient,60,55.6666666666667,46.6666666666667,44,16,9
Al-Air-Al,Ambient,60,55.6666666666667,46.6666666666667,44,16,9
Al-Air-Al,Ambient,,,,,,
Al-Air-Al,Ambient,70,59.3333333333333,50,47,23,9.33333333333334
Al-Air-Al,Ambient,70,60,50.3333333333333,47,23,9.66666666666666
Al-Air-Al,Ambient,70,60.3333333333333,50.3333333333333,47,23,10
Al-Air-Al,Ambient,70,61.3333333333333,49.6666666666667,48,22,11.6666666666667
Al-Air-Al,Ambient,70,61.3333333333333,49.6666666666667,48,22,11.6666666666667
Al-Air-Cu,Ambient,28,28,28,27,0,0
Al-Air-Cu,Ambient,33,33.3333333333333,32.6666666666667,31,9,0.666666666666671
Al-Air-Cu,Ambient,34,34.3333333333333,33.6666666666667,31,9,0.666666666666671
Al-Air-Cu,Ambient,36,35,34.6666666666667,32,8,0.333333333333336
Al-Air-Cu,Ambient,38,36.3333333333333,34.6666666666667,33,7,1.66666666666667
Al-Air-Cu,Ambient,42,42,40.3333333333333,37,13,1.66666666666666
Al-Air-Cu,Ambient,43,42.6666666666667,42.3333333333333,37,13,0.333333333333329
Al-Air-Cu,Ambient,43,43.3333333333333,43,38,12,0.333333333333336
Al-Air-Cu,Ambient,43,43,42.6666666666667,38,12,0.333333333333336
Al-Air-Cu,Ambient,48,47.6666666666667,45,40,20,2.66666666666666
Al-Air-Cu,Ambient,50,49.3333333333333,48,42,18,1.33333333333334
Al-Air-Cu,Ambient,49,49.3333333333333,48.3333333333333,43,17,1
Al-Air-Cu,Ambient,50,50.3333333333333,49.3333333333333,44,16,1
Al-Air-Cu,Ambient,50,50.3333333333333,49.6666666666667,44,16,0.666666666666671
Al-Air-Cu,Ambient,54,54.6666666666667,52.3333333333333,47,23,2.33333333333333
